Gene	mother_1	mother_3	mother_4	child_1_1	child_1_2	child_1_3	child_1_4	child_2_1	child_2_2	child_2_3	child_2_4	child_3_1	child_3_2	child_3_3	child_3_4	child_4_1	child_4_2	child_4_3	child_4_4	child_5_1	child_5_2	child_5_3	child_5_4	child_6_1	child_6_2	child_6_3	child_6_4	child_7_1	child_7_2	child_7_3	child_7_4	child_8_1	child_8_2	child_8_3	child_8_4	father_1	father_2	father_3	father_4
ENSOCUG00000001334	584.514532360254	706.777524890488	684.750171855331	524.689690171871	457.308515619589	496.446975104608	493.085902475666	697.078919055618	684.968288689806	687.730385977758	575.56041440589	730.882196298799	655.16147284495	855.783794224291	664.551449839324	827.944209272199	730.630696985433	751.566226805489	804.81079827282	1158.5968592901	629.078170521403	618.18118417619	743.698625628778	1459.07664085116	1279.63432960732	1101.54772067891	1114.72710936812	676.907556509961	629.782552601224	687.434039922466	573.305548325251	793.550185205409	709.644213083501	784.913746956448	778.320040237473	520.64922906106	454.210682753213	473.386555962057	537.688219765043
ENSOCUG00000022086	279.346302613936	211.908605346354	257.326497703596	162.448409412643	191.504481369302	207.605098680109	169.112313373157	197.315235011372	179.197082860169	166.764281970558	142.694340967665	198.853985645977	207.009003184623	209.934462020646	172.394099958318	198.888006452711	206.254598670529	184.633321614065	210.252007587062	281.761364133882	197.173754939544	196.69401314697	196.979635977352	246.397802240085	218.844825966097	265.993121061604	273.737842916728	177.127818804452	179.937872171778	188.139842505096	152.94900670868	208.866387153438	188.01559118852	208.84842447391	188.377341497854	207.680119198753	197.037873645056	214.085148115394	203.908850836404
ENSOCUG00000009503	12322.9278619484	9094.61873298236	14400.4705727601	7405.4068015005	8177.1367072116	7518.91509567524	9139.66547556051	7024.11763245115	6126.19559908878	6703.64849177518	9234.47623334879	7914.38862870989	7164.9339559699	7982.85820549846	7940.32394808018	7806.51621418623	7182.78726669571	7422.25952888542	8811.33047180798	9571.81509147523	8994.87891581349	9150.2857748677	12147.4125513176	8121.85859107992	7095.73953080352	8149.87101780574	10455.1202741389	7951.64262093515	7802.98151080049	9145.45706946475	9115.15305543982	8564.94273306751	7739.59302508354	9415.005751639	10414.9697001789	12524.560118749	8907.64724881089	10812.2227606382	13822.1071031248
ENSOCUG00000027739	145.541771109782	160.801235821645	130.843981883184	99.8964356732922	117.204928488316	91.3913749624391	94.0568484491155	112.751562863641	128.11754054956	108.879159303092	94.0666605261704	90.0470878396877	96.8978312779086	98.9500012071836	92.6849999775905	104.302830745559	90.89185704125	105.349601156261	97.8095419910509	101.991743788046	103.281490682618	88.3115977394557	108.539799416092	137.48842883616	156.534840795194	158.211521821029	159.246729909732	97.7510369335775	104.558493289006	106.474746033104	116.484342857604	84.541156704963	95.1542321258975	104.919113716751	107.512921732921	112.050668963048	127.946671198088	119.038724598646	116.519343335088
ENSOCUG00000009491	284.041198456188	211.908605346354	280.224194533153	277.282629859512	248.014000461883	232.427447435339	220.416048890857	236.930648990489	215.203973341418	238.431576701708	157.043492573352	254.383023147118	212.514561779959	292.838517086124	192.784799953388	248.124125313969	213.246279981394	222.646064299314	224.884931192023	362.4742549014	206.562981365237	151.534673393839	186.929654549936	256.439091986546	227.963360381351	241.272570777069	189.430750611576	230.780643587544	222.490747347537	207.780815074309	181.310411926184	248.65046089695	192.60133731507	201.919803756766	192.052996941714	233.760878353945	218.788807748731	245.459695684029	228.183714031214
ENSOCUG00000009485	191.31700557173	142.103417702849	135.205447945957	140.041732252279	138.134380004086	121.855166616585	120.658785384219	119.608076821565	123.930692819183	101.988073271251	129.142364451183	138.072201354188	114.515618782983	114.995947348889	98.2460999762459	132.80795219155	127.015543814055	125.985090042539	113.982773343902	114.465554179389	143.968138527286	138.488641909601	154.769713982205	152.936566907639	130.698993285308	136.457437570637	139.470992208523	140.379308679047	164.132518535068	139.554278781253	142.819933416715	158.425865085771	145.59743951794	134.613202504511	132.32359597898	166.144095359002	150.977072013744	179.01947730339	140.794206529898
ENSOCUG00000008921	45.7752344619476	53.6004119405485	45.7953936591145	44.8133543207292	32.4406498494445	25.9506373350136	30.4022136401181	31.2352302527654	34.3321513890979	27.564344127365	35.0757039250127	33.0172655412188	40.7411336054843	49.4750006035918	37.0739999910362	43.4055258382139	54.7681702684455	45.6152912222985	33.1166165796472	32.2851563070073	29.2109266577102	33.1168491522959	31.1549424249894	30.8962761429574	31.9148704533891	24.7205502845357	36.4289905022262	38.9534207329294	34.0423001406067	31.0120619513894	42.5421078262554	41.204933520066	36.6859690123942	43.5513302220475	42.2700376043964	48.2977021392449	34.5456012234838	47.9846021637952	48.5497263896201
ENSOCUG00000009479	185.448385768916	235.592508296829	224.6155022328	124.170335930354	119.297873639893	146.677515371816	120.658785384219	128.750095432131	130.629649187787	107.500942096724	128.345189361978	124.565138178235	127.728959411789	97.6128390287081	123.271049970195	135.399326868458	121.189142721667	143.362343841509	144.018774427768	103.45925089291	138.751901624124	142.502805443213	138.68974369834	165.295077364822	176.291665361578	187.876182162472	179.02246761094	134.499547058983	153.19035063273	141.621749578012	154.974821367073	114.379212012597	137.572383796478	134.613202504511	130.48576825705	177.735543872421	195.758406933075	170.71445000581	168.71029920393
ENSOCUG00000009474	1347.43510672605	2247.47773787928	1916.86433458865	1288.38393672097	1153.21277851896	1151.98263995865	1346.24802275148	1405.58536137444	1302.10964414749	1403.02511608288	1024.36998962821	1031.78954816309	1291.60404646576	1683.4871827006	1411.5925496587	1059.22439918626	1425.13770719806	1406.4714793542	1160.62188803554	1127.04545653553	1126.70717108311	1083.82415407514	1058.2630443069	1301.50563252208	1916.41198293922	1891.61650777267	1162.60521117105	1087.02092950948	1362.90780205786	1233.24633026692	1156.74016994247	1122.47922347766	1039.81793419505	1616.34823301372	1595.23446263548	1355.23352202721	1418.9285835868	1814.1870741158	1622.77460457305
ENSOCUG00000026008	751.183334760165	532.264555781726	648.768076837455	562.967763654161	448.936735013281	399.414157243252	440.832097781713	500.52551892846	427.058468498535	406.574075878634	377.860992283091	516.269970280876	437.141352469656	597.711493778528	399.472349903415	518.274935381658	456.789845643205	426.828796437221	475.184940224239	544.445135904532	396.434004640353	430.519038979847	527.624024939336	607.111826209112	458.966232234453	475.623387474467	438.188714326778	496.104886692968	464.434237632563	467.248400067601	422.382356274964	471.725445815928	484.942652882586	461.248179169867	492.537829477315	513.887550761566	498.992017672543	520.44837731501	599.589120911808
ENSOCUG00000017278	6354.54152248677	5442.31159377755	5937.04567794949	3178.01371057838	4239.26040451935	3727.86546760369	3653.01598269545	2835.54943904373	3120.03892867753	3285.66981998191	1792.84677562167	3120.13159364518	3804.34098937698	5408.82101193321	3399.68579917802	2370.45998570186	3231.32204583829	3018.21176920875	3107.57088136922	3555.76971508539	3052.54183573072	2599.17088801353	3611.96332501328	2794.56817713049	3354.10090907761	3326.39724628713	3100.62750588948	2529.03246683038	3045.57006615071	3403.0569314658	2943.5086986452	2774.22871372169	3505.80291374692	3486.08602368299	3366.90038657627	3901.4883788082	4313.08228608755	4184.81097716945	4841.62146420486
ENSOCUG00000017252	313.384297470257	336.560726138328	272.591628923301	188.589532766402	277.315232583961	213.246541579025	199.514527013275	227.788630379923	226.089777440401	239.809793908076	140.302815700051	229.620073991204	235.637907880369	235.34054341168	192.784799953388	186.578976737397	249.369966754199	228.076456111492	232.586469931475	288.36514610577	238.903650164845	226.800239649057	213.059606261218	163.750263557674	155.015085059319	162.166809866554	120.736082807378	200.646865284712	237.080304550654	220.185639854865	204.607280497705	218.812405589316	273.998331061319	226.664877746566	201.242135551366	244.386372824579	287.880010195698	239.923010818976	236.679916149398
ENSOCUG00000017260	199.533073295669	189.471223603799	166.82607690106	170.85091334778	163.249721823011	152.318958270732	152.011068200591	164.556334990179	159.100213754356	147.469241081403	148.274566592099	144.0753405435	158.560087545669	177.842569737235	133.46639996773	144.469138237637	163.139230586859	128.15724676741	144.018774427768	145.283203381533	151.270870191714	156.552377810853	209.039613690251	153.708973811213	180.850932569205	148.323301707214	171.736669510495	127.88481523641	166.564111402254	137.486807984493	138.768304099928	137.823398325738	145.59743951794	133.623399544919	138.755993005736	115.914485134188	170.169072693457	160.563861086546	167.496556044189
ENSOCUG00000024025	76.2920574365793	48.6143271088695	70.8738235200581	16.8050078702735	9.41825318209681	15.7960401169648	14.2510376438054	25.1405511790551	19.2594995597378	20.6732580955238	16.7406768733015	24.0125567572501	9.91000547160429	14.70878396323	19.463849995294	26.56159043831	8.15696152934295	15.2050970740995	21.5643084704679	35.9539240691672	16.6919580901201	14.0495723676407	25.1249535685398	47.8892280215839	28.8753589816378	49.4411005690715	56.2047282034347	23.5190464802592	15.8053536367103	19.6409725692133	26.3355905591105	18.471177095202	22.9287306327464	21.7756651110238	18.3782772193028	85.9699098078559	52.4581351912161	51.6757254071641	86.1757643415757
